time/total timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
616500,103,12330,50.0,5932,-57.952564300000006,0.0001,10.213389475345611,612400,24.853022289276122
617000,103,12340,50.0,5936,-57.46867383000001,0.0001,10.192065300941467,612800,24.878144035339357
617500,103,12350,50.0,5943,-60.10890656000002,0.0001,10.003119196891785,613400,24.803468933105467
618000,103,12360,50.0,5947,-59.26488424,0.0001,10.334847583770753,613800,24.776509017944335
618500,103,12370,50.0,5955,-58.101152379999995,0.0001,10.238066260814668,614400,24.897769107818604
619000,103,12380,50.0,5960,-60.10744753,0.0001,10.116914927959442,614800,24.806738090515136
619500,103,12390,50.0,5966,-60.25284470999999,0.0001,10.211776251792907,615400,24.877980422973632
620000,103,12400,50.0,5970,-60.26048608999999,0.0001,10.264205315113067,615800,24.96338325500488
620500,103,12410,50.0,5976,-59.772462479999994,0.0001,10.00768373966217,616400,24.892061443328856
621000,103,12420,50.0,5980,-61.03520154999999,0.0001,10.162020070552826,616800,24.847827758789062
621500,103,12430,50.0,5986,-63.577959979999996,0.0001,10.240554344654083,617400,24.833158168792725
622000,103,12440,50.0,5990,-64.90910867000001,0.0001,10.26601970911026,617800,24.941708984375
622500,103,12450,50.0,5995,-63.29802166,0.0001,10.179131345748901,618400,24.72374517440796
623000,103,12460,50.0,5999,-64.51442031000002,0.0001,10.174307432174682,618800,24.852237911224364
623500,103,12470,50.0,6006,-65.54956270000001,0.0001,10.259183719158173,619400,24.878909015655516
624000,103,12480,50.0,6010,-62.88389056,0.0001,10.097235255241394,619800,24.806199169158937
624500,103,12490,50.0,6015,-62.89075502000001,0.0001,10.34037662267685,620400,24.75400863647461
625000,103,12500,50.0,6019,-65.50029429,0.0001,10.17976678609848,620800,24.79171880722046
625500,103,12510,50.0,6025,-70.16421770999999,0.0001,10.29077185869217,621400,24.759894161224366
626000,103,12520,50.0,6029,-71.82706773,0.0001,10.285003626346588,621800,24.83696928024292
626500,103,12530,50.0,6037,-71.56384884,0.0001,10.437808604240418,622400,24.778940773010255
627000,103,12540,50.0,6041,-71.33461067,0.0001,10.531390249729156,622800,24.838211460113527
627500,103,12550,50.0,6048,-70.92568182999999,0.0001,10.35650989294052,623400,24.753788585662843
628000,103,12560,50.0,6052,-69.54023072,0.0001,10.697954359054565,623800,24.76920265197754
628500,103,12570,50.0,6058,-70.29422249,0.0001,10.470176756381989,624400,24.798435707092285
629000,103,12580,50.0,6063,-72.17824487000001,0.0001,10.709322390556336,624800,24.805295543670653
629500,103,12590,50.0,6071,-72.16022602,0.0001,10.429489724636078,625400,24.84021942138672
630000,103,12600,50.0,6076,-69.84821756999999,0.0001,10.490807690620422,625800,24.75174295425415
630500,103,12610,50.0,6083,-65.7551828,0.0001,10.611246407032013,626400,24.831559200286865
631000,103,12620,50.0,6088,-64.55600394,0.0001,10.668774566650391,626800,24.814574661254884
631500,103,12630,50.0,6095,-66.09473519,0.0001,10.815309472084046,627400,24.786567783355714
